contact_id,account_id,full_name,title,is_economic_buyer
CON-5308,ACC-2106,Timothy James,Airline pilot,False
CON-5309,ACC-2107,Joseph Taylor,"Nurse, adult",False
CON-5310,ACC-2107,Sarah Phillips,Cytogeneticist,False
CON-5311,ACC-2107,Stephen Sanford,Midwife,False
CON-5312,ACC-2108,Alexandra Baxter,Counsellor,True
CON-5313,ACC-2108,Aaron Carlson,Soil scientist,False
CON-5314,ACC-2108,Angela Clark,Local government officer,False
CON-5315,ACC-2109,Taylor York,Curator,True
CON-5316,ACC-2109,Daniel Davenport,"Engineer, biomedical",False
CON-5317,ACC-2109,Michael Bradley,Audiological scientist,False
CON-5318,ACC-2109,Tara Gamble,"Psychologist, clinical",True
CON-5319,ACC-2110,Angel Powers,Fitness centre manager,False
CON-5320,ACC-2110,Nicholas Freeman,Lawyer,True
CON-5321,ACC-2110,Michael Young,Higher education careers adviser,False
CON-5322,ACC-2110,Stephanie Stewart,"Production designer, theatre/television/film",False
CON-5323,ACC-2110,Matthew Steele,"Designer, ceramics/pottery",False
CON-5324,ACC-2111,Holly Stewart,Phytotherapist,False
CON-5325,ACC-2112,Erik Floyd,Press photographer,False
CON-5326,ACC-2112,Ian Frazier,Learning disability nurse,False
CON-5327,ACC-2112,Julie Howard,Industrial/product designer,False
CON-5328,ACC-2112,Mr. Matthew Miller,Health visitor,False
CON-5329,ACC-2113,Brenda Ryan,General practice doctor,True
CON-5330,ACC-2114,Lori Luna,Advertising account executive,False
CON-5331,ACC-2114,Lynn Hess,Technical sales engineer,False
CON-5332,ACC-2114,Kevin Escobar,Structural engineer,True
CON-5333,ACC-2115,Steven Fernandez,Database administrator,True
CON-5334,ACC-2116,Daniel Barton,Horticultural therapist,False
CON-5335,ACC-2116,Jonathan Davis,Medical physicist,False
CON-5336,ACC-2116,Mary Charles,Visual merchandiser,True
CON-5337,ACC-2116,Nicole Taylor,"Designer, jewellery",True
CON-5338,ACC-2117,Travis Hopkins,Dancer,True
CON-5339,ACC-2117,Karen Howard,English as a foreign language teacher,False
CON-5340,ACC-2117,Crystal Baker,Facilities manager,False
CON-5341,ACC-2117,Daniel Velez,Media planner,False
CON-5342,ACC-2117,Thomas Keith,Archaeologist,False
CON-5343,ACC-2118,Mrs. Michele Boyd,Graphic designer,False
CON-5344,ACC-2118,Deborah Stephens,Ecologist,False
CON-5345,ACC-2118,James Matthews,Careers adviser,False
CON-5346,ACC-2118,Jamie Solomon,"Scientist, clinical (histocompatibility and immunogenetics)",False
CON-5347,ACC-2119,Robert Reed,Race relations officer,False
CON-5348,ACC-2119,Adriana Macias,Printmaker,True
CON-5349,ACC-2120,Billy Schneider,"Engineer, mining",True
CON-5350,ACC-2120,Christopher Guzman,Commissioning editor,False
CON-5351,ACC-2120,Jennifer Rivera,Clothing/textile technologist,False
CON-5352,ACC-2120,Mr. Daniel Martin,Paediatric nurse,True
CON-5353,ACC-2121,Andrew Berry,"Designer, multimedia",False
CON-5354,ACC-2121,Jose Macdonald,Data processing manager,False
CON-5355,ACC-2122,David White,"Optician, dispensing",False
CON-5356,ACC-2122,Kristy Smith,Herpetologist,False
CON-5357,ACC-2122,Claire Obrien,Public affairs consultant,False
CON-5358,ACC-2122,Carolyn Greer,Tourist information centre manager,False
CON-5359,ACC-2123,Kevin Saunders,Youth worker,False
CON-5360,ACC-2123,Deborah Ramsey,"Lighting technician, broadcasting/film/video",True
CON-5361,ACC-2123,Linda Jones,Multimedia specialist,True
CON-5362,ACC-2123,Brian Harris,Retail merchandiser,False
CON-5363,ACC-2124,Samantha Jacobs,"Editor, film/video",False
CON-5364,ACC-2124,Lucas Williams,Ship broker,False
CON-5365,ACC-2124,Autumn Olson,"Conservator, furniture",False
CON-5366,ACC-2124,Kimberly Smith,Plant breeder/geneticist,False
CON-5367,ACC-2125,Jacqueline Williams,Senior tax professional/tax inspector,False
CON-5368,ACC-2125,Todd Olson,Museum/gallery curator,False
CON-5369,ACC-2125,Robert Velez,Teaching laboratory technician,False
CON-5370,ACC-2126,Cesar Woods,"Exhibitions officer, museum/gallery",True
CON-5371,ACC-2126,Angela George,Speech and language therapist,False
CON-5372,ACC-2126,Colin Fletcher,Actor,False
CON-5373,ACC-2126,Autumn Smith,"Engineer, land",True
CON-5374,ACC-2126,Emily Cox,"Designer, fashion/clothing",False
CON-5375,ACC-2127,Kevin Green,Social worker,False
CON-5376,ACC-2127,Jacob Hill,Occupational psychologist,False
CON-5377,ACC-2127,Jennifer Bowers,Radiation protection practitioner,False
CON-5378,ACC-2127,Justin Webb,Information systems manager,False
CON-5379,ACC-2128,Patricia Sanders,Corporate investment banker,False
CON-5380,ACC-2128,Mary Adkins,Product manager,False
CON-5381,ACC-2128,Tiffany Garcia,Rural practice surveyor,False
CON-5382,ACC-2128,George Pierce,Associate Professor,False
CON-5383,ACC-2128,Vincent Smith,"Chemist, analytical",False
CON-5384,ACC-2129,Kaitlyn Burke,Chartered management accountant,True
CON-5385,ACC-2129,Daniel Miller,Applications developer,False
CON-5386,ACC-2129,Tara Morales,"Scientist, research (life sciences)",True
CON-5387,ACC-2129,Victor Brown,Economist,False
CON-5388,ACC-2129,Jessica Harris,"Scientist, marine",True
CON-5389,ACC-2130,Andrew Greene,"Scientist, clinical (histocompatibility and immunogenetics)",False
CON-5390,ACC-2130,Lisa Craig,Media buyer,True
CON-5391,ACC-2130,Aaron Moore,Health and safety adviser,False
CON-5392,ACC-2130,Heather Foster,Theatre director,False
CON-5393,ACC-2131,Adrian Padilla,Chemical engineer,False
CON-5394,ACC-2132,Molly Hansen,Television floor manager,False
CON-5395,ACC-2132,Victor Hill,Trading standards officer,True
CON-5396,ACC-2132,Jordan Powell,"Accountant, chartered management",False
CON-5397,ACC-2132,Jason Rodriguez,"Buyer, industrial",False
CON-5398,ACC-2133,Gina Wilson,Scientific laboratory technician,False
CON-5399,ACC-2133,Sherri Li,"Teacher, special educational needs",False
CON-5400,ACC-2134,Jeremy Bennett,Radio broadcast assistant,False
CON-5401,ACC-2135,Nina Ali,Proofreader,False
CON-5402,ACC-2135,Stephanie Atkins,Race relations officer,False
CON-5403,ACC-2135,Austin Schultz,English as a second language teacher,False
CON-5404,ACC-2135,Crystal Stewart,Manufacturing engineer,False
CON-5405,ACC-2135,Alexandra Collier,Fish farm manager,False
CON-5406,ACC-2136,James Goodman,"Lighting technician, broadcasting/film/video",True
CON-5407,ACC-2136,Timothy Woods,Manufacturing systems engineer,False
CON-5408,ACC-2136,Kenneth White,Energy manager,False
CON-5409,ACC-2136,Mr. Nicolas Salas II,"Engineer, electrical",False
CON-5410,ACC-2136,Sara Kelly,Clinical biochemist,False
CON-5411,ACC-2137,Blake Sosa,"Research officer, government",True
CON-5412,ACC-2138,Pamela Weaver,Archivist,False
CON-5413,ACC-2138,Jacqueline Stewart,"Teacher, special educational needs",False
CON-5414,ACC-2139,Katherine Joyce,Sales promotion account executive,True
CON-5415,ACC-2139,Daniel Ray,Audiological scientist,False
CON-5416,ACC-2139,Jenny Ayers,Amenity horticulturist,False
CON-5417,ACC-2139,Jennifer Parks,Ecologist,False
CON-5418,ACC-2139,Bryan Holmes,Interpreter,False
CON-5419,ACC-2140,Alexandra Clark,Telecommunications researcher,True
CON-5420,ACC-2140,Isaiah Hensley,"Embryologist, clinical",True
CON-5421,ACC-2140,Cynthia Ruiz,Video editor,True
CON-5422,ACC-2140,Clinton Coleman,Personnel officer,False
CON-5423,ACC-2141,Jacqueline Dickerson,Health service manager,False
CON-5424,ACC-2141,Kenneth Krause,Estate manager/land agent,False
CON-5425,ACC-2141,Michelle Brock,"Surveyor, building control",False
CON-5426,ACC-2141,James Thomas,Dealer,False
CON-5427,ACC-2141,Adam Fisher,Contractor,False
CON-5428,ACC-2142,Sarah Holmes DDS,"Radiographer, therapeutic",False
CON-5429,ACC-2142,Justin Bradley,Occupational therapist,True
CON-5430,ACC-2142,Christopher Lewis,Forest/woodland manager,False
CON-5431,ACC-2142,Mark Cole,"Lecturer, higher education",False
CON-5432,ACC-2142,Isaac Grant,Furniture designer,False
CON-5433,ACC-2143,Jason Bell,Trading standards officer,True
